ieta = 0, ix = 124, iy = 200, energy density = 0.101241 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.571193
ieta = 0, ix = 124, iy = 200, energy density = 0.101241 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.101184
ieta = 0, ix = 113, iy = 190, energy density = 0.199712 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.147914
ieta = 0, ix = 123, iy = 194, energy density = 0.215268 GeV/fm^3, shear |pi/(epsilon+3*P)| = 66.2161
ieta = 0, ix = 123, iy = 198, energy density = 0.305081 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.110732
ieta = 0, ix = 121, iy = 200, energy density = 0.196243 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.173595
ieta = 0, ix = 123, iy = 198, energy density = 0.421341 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.219216
ieta = 0, ix = 122, iy = 201, energy density = 0.100145 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.123099
ieta = 0, ix = 113, iy = 191, energy density = 0.215052 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.419237
ieta = 0, ix = 118, iy = 197, energy density = 0.162079 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.135011
ieta = 0, ix = 123, iy = 202, energy density = 0.121 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.165395
ieta = 0, ix = 218, iy = 200, energy density = 0.249785 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.149783
ieta = 0, ix = 121, iy = 195, energy density = 0.187511 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.134077
ieta = 0, ix = 122, iy = 202, energy density = 0.142943 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.128231
ieta = 0, ix = 126, iy = 200, energy density = 0.169877 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.140188
ieta = 0, ix = 126, iy = 200, energy density = 0.169877 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.102649
ieta = 0, ix = 121, iy = 197, energy density = 0.322817 GeV/fm^3, shear |pi/(epsilon+3*P)| = 31.5337
ieta = 0, ix = 116, iy = 197, energy density = 0.142142 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.183653
ieta = 0, ix = 126, iy = 200, energy density = 0.473364 GeV/fm^3, shear |pi/(epsilon+3*P)| = 1.39413
