5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00003 1.0008 1.00265 1.00075 1.0211 1.05614 1.008 1.00433 1.09212 1.20906 1.02036 1.00774 1.00626 1.00634 1.2625 1.48348 1.45152 1.4514 1.4522 1.45123 1.45075 1.45199 1.46324 1.22265 1.00269 1.00335 1.00933 1.03761 1.21418 1.10007 1.0066 1.0201 1.1726 1.11942 1.00406 1.05128 1.00907 1.00081 1.00036 1.00015 1.00006 1.00003 1.00001 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00015 1.00039 1.0064 1.00025 1.05356 1.0124 1.00448 1.1066 1.20224 1.02971 1.01761 1.29593 1.50559 1.45251 1.44373 1.24096 1.21484 1.12287 1.12339 1.12246 1.12155 1.12187 1.12033 1.21096 1.23718 1.44256 1.45115 1.48214 1.24354 1.0159 1.03602 1.23025 1.12267 1.00778 1.0343 1.13216 1.00804 1.0131 1.01967 1.00057 1.00161 1.00075 1.00038 1.00016 1.00009 1.00002 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00158 1.00012 1.00123 1.07537 1.01378 1.1767 1.2056 1.02816 1.01895 1.3027 1.48721 1.23732 1.21805 1.12217 1.12465 1.09475 1.05481 1.04365 1.04391 1.0429 1.04253 1.04275 1.0417 1.05209 1.09175 1.11996 1.11683 1.21099 1.23284 1.47764 1.26719 1.01751 1.03066 1.25058 1.25761 1.01105 1.26314 1.16397 1.01123 1.02155 1.00107 1.00113 1.00006 1.00155 1.00104 1.00025 1.00012 1.00004 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00002 1.00005 1.00078 1.03893 1.12958 1.00593 1.23523 1.07297 1.02062 1.30896 1.48753 1.23172 1.21999 1.09569 1.05604 1.04433 1.04366 1.04277 1.04187 1.04147 1.04064 1.04014 1.03989 1.03981 1.03992 1.03966 1.03974 1.03992 1.03937 1.05003 1.08874 1.21255 1.227 1.4877 1.29338 1.0206 1.07801 1.17406 1.01817 1.05573 1.20747 1.00929 1.06004 1.04141 1.03012 1.01269 1.00233 1.00031 1.00202 1.00046 1.00006 1.00002 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00057 1.00174 1.07853 1.02782 1.00854 1.24872 1.02598 1.51683 1.48208 1.22965 1.21767 1.09349 1.05488 1.04372 1.0434 1.04218 1.04076 1.03953 1.03843 1.0375 1.03689 1.03645 1.03616 1.03605 1.03609 1.03634 1.03666 1.03712 1.03754 1.03775 1.03711 1.04738 1.08611 1.2114 1.22529 1.48872 1.54236 1.02996 1.42562 1.29891 1.05659 1.11 1.00397 1.0023 1.00356 1.006 1.05482 1.02569 1.01112 1.00006 1.00105 1.00025 1.00004 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00459 1.00105 1.03734 1.21989 1.35889 1.0179 1.47167 1.31355 1.21477 1.09231 1.05353 1.0424 1.04209 1.04113 1.03978 1.03833 1.0371 1.03598 1.03498 1.03416 1.03352 1.03303 1.03274 1.03262 1.03266 1.03284 1.03313 1.03349 1.0339 1.03442 1.03498 1.03536 1.035 1.04548 1.08421 1.20774 1.31158 1.30635 1.02219 1.1349 1.34239 1.02252 1.1715 1.14236 1.17268 1.10082 1.00663 1.0045 1.0041 1.04068 1.0092 1.00034 1.00057 1.00009 1.00001 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00002 1.00015 1.00198 1.08687 1.35719 1.06008 1.02333 1.32913 1.31573 1.15201 1.05198 1.04124 1.04081 1.03998 1.03887 1.03766 1.03635 1.03511 1.03393 1.03279 1.03176 1.03091 1.03024 1.02977 1.02949 1.02938 1.02943 1.02961 1.02989 1.03022 1.03061 1.03104 1.03154 1.03221 1.033 1.03364 1.0338 1.04422 1.14662 1.22729 1.51163 1.65676 1.03104 1.22783 1.00773 1.00452 1.00778 1.01625 1.16709 1.17598 1.11177 1.00671 1.00265 1.02586 1.00487 1.00166 1.00017 1.00002 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.0001 1.00119 1.0006 1.07965 1.06701 1.36162 1.03269 1.56306 1.50181 1.23325 1.15245 1.05021 1.039 1.03881 1.03747 1.03641 1.03543 1.03438 1.03326 1.03208 1.03089 1.02973 1.02873 1.02792 1.02729 1.02681 1.02652 1.02641 1.02646 1.02662 1.02689 1.02721 1.02759 1.02802 1.02852 1.0291 1.02977 1.03067 1.03204 1.03209 1.04323 1.08146 1.21024 1.31685 1.50501 1.02794 1.22439 1.16802 1.23679 1.1399 1.01559 1.0116 1.01109 1.23027 1.09992 1.00737 1.0075 1.01089 1.00099 1.00025 1.00003 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00004 1.00051 1.00048 1.05712 1.0204 1.22283 1.15516 1.62023 1.30891 1.21389 1.08776 1.04867 1.03703 1.037 1.03563 1.03451 1.03342 1.03237 1.03132 1.03021 1.02907 1.02792 1.02685 1.02591 1.0251 1.02446 1.024 1.02372 1.0236 1.02363 1.02377 1.02401 1.02433 1.02468 1.02508 1.02554 1.02615 1.02688 1.02777 1.02893 1.03075 1.03269 1.03475 1.04826 1.16252 1.32851 1.22944 1.00159 1.00614 1.00895 1.01997 1.20401 1.25155 1.17193 1.01415 1.00917 1.21143 1.13578 1.00669 1.01755 1.00038 1.00034 1.00003 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
5.11345 1.19972 1.00252 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00001 1.00009 1.00174 1.01118 1.00293 1.15942 1.02874 1.4978 1.02711 1.48882 1.21231 1.04902 1.03754 1.03676 1.03573 1.0341 1.0327 1.03136 1.03032 1.02935 1.02836 1.02733 1.02627 1.02519 1.02416 1.02323 1.02243 1.0218 1.02135 1.02107 1.02095 1.02097 1.02111 1.02134 1.02162 1.02194 1.02232 1.02279 1.02341 1.02424 1.0253 1.02648 1.02803 1.03005 1.03249 1.0342 1.05519 1.16542 1.23997 1.43248 1.44925 1.50856 1.30758 1.0084 1.02153 1.01694 1.34972 1.16965 1.01782 1.04639 1.18947 1.00535 1.02427 1.00023 1.0004 1.00004 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.00252 1.20513 
